,業種1,不等号1,値1,業種2,不等号2,値2,業種3,不等号3,値3,業種4,不等号4,値4,業種5,不等号5,値5,業種6,不等号6,値6
1849,電気・ガス業,>,-0.0882496483347545,その他金融業,<=,0.31192278479685,機械,>,0.192016737270584,金属製品,>,0.100866424875487,陸運業,>,-0.0762823700560334,サイズ,<=,1.02
2042,電気機器,>,0.253129503510681,ガラス・土石製品,<=,0.385813322904735,海運業,>,0.188165941991422,,,,,,,,,
220,水産・農林業,>,0.0054174230320247,ガラス・土石製品,<=,-0.0374744364654084,パルプ・紙,<=,-0.0885918602140836,石油・石炭製品,>,-0.138626549540021,海運業,<=,0.106923615691327,卸売業,>,-0.0772548682730458
3384,空運業,<=,0.0944644963470856,空運業,>,0.0340857131234631,銀行業,>,0.191278178774887,情報・通信業,>,0.092668323373983,その他製品,>,0.0280463950539113,非鉄金属,<=,0.232073854251742
1762,空運業,<=,-0.0409121643005343,非鉄金属,>,-0.202055372563597,パルプ・紙,<=,-0.081665249642293,石油・石炭製品,>,-0.0709973078806012,海運業,>,0.102221859286225,卸売業,<=,0.0163827152904564
3870,空運業,>,0.0406544933288368,電気・ガス業,>,-0.0965141768253124,電気・ガス業,>,0.0625415336886775,ガラス・土石製品,>,-0.159593573936295,パルプ・紙,<=,-0.069421172421453,輸送用機器,<=,0.141681212363002
3238,食料品,>,0.0596967542923401,ガラス・土石製品,<=,0.343400440595452,金属製品,>,-0.014490752696138,証券・商品先物取引業,<=,-0.0937965798745157,鉄鋼,>,-0.113187481976691,鉄鋼,<=,0.288942386705793
1754,銀行業,>,-0.106608886657894,非鉄金属,>,-0.202055372563597,パルプ・紙,<=,-0.081665249642293,パルプ・紙,<=,-0.112280867555808,海運業,<=,0.102221859286225,卸売業,<=,-0.0658537948768464
2444,銀行業,<=,0.126609680610771,その他金融業,<=,0.0322192551973058,金属製品,<=,0.0363009343196133,パルプ・紙,>,-0.103763193716734,医薬品,<=,-0.0114992786999491,卸売業,>,-0.134434849629316
463,食料品,<=,-0.00103647905520045,金属製品,<=,0.0558153408899186,石油・石炭製品,>,-0.249906352363361,陸運業,>,-0.0823811955876527,輸送用機器,<=,0.136561943787563,卸売業,>,-0.12085499645034
1570,建設業,<=,0.115524508350873,電気機器,<=,0.305418899395182,その他製品,>,0.0539351421691848,パルプ・紙,>,-0.0650285061874748,陸運業,>,-0.107761902271308,輸送用機器,>,0.121986153653731
2901,その他金融業,>,-0.353573411213367,ガラス・土石製品,>,-0.159536393326264,金属製品,>,0.0454221038846993,非鉄金属,<=,0.224609831555529,輸送用機器,>,0.130001031968492,繊維製品,<=,0.133861409912031
1720,ガラス・土石製品,>,-0.0235436853946942,その他製品,<=,0.0323723113569917,非鉄金属,>,-0.189078514434171,パルプ・紙,>,-0.103823504498008,陸運業,>,-0.0648659053078513,証券・商品先物取引業,>,0.0203495189900499
482,非鉄金属,>,0.136045289885801,陸運業,>,-0.0823811955876527,小売業,>,0.171469868673364,輸送用機器,>,0.136561943787563,繊維製品,>,0.289292989132917,倉庫・運輸関連業,>,0.0950160904733504
2580,化学,>,0.103077672890905,食料品,<=,0.0537737203686595,機械,>,-0.0950753715965917,非鉄金属,>,0.142213512251767,パルプ・紙,>,-0.0666711548780515,海運業,>,0.215350108808549
3823,情報・通信業,<=,0.0959578985619644,水産・農林業,>,-0.0964100924264563,非鉄金属,>,-0.211852051566755,証券・商品先物取引業,<=,0.278881570666114,証券・商品先物取引業,>,0.0202639292950002,倉庫・運輸関連業,<=,0.0442734401866769
1956,建設業,>,-0.0673599121907721,電気機器,<=,0.259186244391551,鉱業,<=,0.288217994938552,パルプ・紙,>,0.0403793006362488,海運業,>,0.20745076412911,海運業,<=,0.224433198000522
2021,空運業,<=,0.0715667134096163,電気機器,<=,0.253129503510681,ガラス・土石製品,<=,-0.065880885264097,パルプ・紙,<=,-0.0980608416213841,パルプ・紙,>,-0.116249231432617,卸売業,>,-0.102169347873116
569,陸運業,<=,-0.0778280565790547,小売業,>,-0.172626280719586,不動産業,>,-0.274169753695389,海運業,>,-0.279226008383252,卸売業,<=,-0.165568497128179,,,
1225,情報・通信業,>,0.054673951655176,電気機器,>,0.259186244391551,ガラス・土石製品,>,0.18185450578092,金属製品,>,0.0516249868892224,非鉄金属,<=,0.618977834505346,海運業,>,0.189491241260235
480,機械,>,0.145454456279856,非鉄金属,>,0.136045289885801,陸運業,>,-0.0823811955876527,小売業,<=,0.171469868673364,輸送用機器,>,0.136561943787563,倉庫・運輸関連業,>,0.0950160904733504
1694,銀行業,<=,0.127412608336162,電気機器,<=,0.206670421121521,水産・農林業,>,-0.0482424977399207,パルプ・紙,>,-0.0665223222583219,海運業,>,-0.0512800933008773,繊維製品,>,-0.159655641261002
1567,空運業,>,-0.208796319830606,建設業,<=,0.115524508350873,情報・通信業,>,-0.0446871929913336,電気機器,>,-0.0595797714394476,その他製品,<=,0.0539351421691848,パルプ・紙,>,-0.0650285061874748
837,化学,<=,0.0838977957921726,金属製品,<=,0.0490388188249666,非鉄金属,>,-0.168532135012702,パルプ・紙,>,-0.102003096348509,医薬品,<=,0.00477572266088415,輸送用機器,<=,0.0700696521706614
